Datetime,Open,High,Low,Close,Signal,Entry,StopLoss,TakeProfit,RiskReward
2025-08-01 00:00:00,3697.74072265625,3697.74072265625,3625.1826171875,3684.9970703125,NONE,,,,
2025-08-01 01:00:00,3681.905517578125,3694.40185546875,3659.12255859375,3686.050048828125,NONE,,,,
2025-08-01 02:00:00,3689.65478515625,3721.911865234375,3683.001953125,3715.6826171875,NONE,,,,
2025-08-01 03:00:00,3716.18798828125,3722.113037109375,3702.46337890625,3704.96826171875,NONE,,,,
2025-08-01 04:00:00,3704.927490234375,3704.927490234375,3680.6611328125,3682.857421875,NONE,,,,
2025-08-01 05:00:00,3682.18603515625,3692.52685546875,3665.89404296875,3674.068603515625,NONE,,,,
2025-08-01 06:00:00,3674.938232421875,3679.229736328125,3647.121337890625,3661.244140625,NONE,,,,
2025-08-01 07:00:00,3661.663330078125,3666.74365234375,3628.6298828125,3647.50244140625,NONE,,,,
2025-08-01 08:00:00,3649.548095703125,3649.548095703125,3590.018310546875,3614.435302734375,NONE,,,,
2025-08-01 09:00:00,3611.59326171875,3637.8779296875,3609.1474609375,3619.7119140625,NONE,,,,
2025-08-01 10:00:00,3618.91455078125,3632.0869140625,3610.23291015625,3615.3232421875,NONE,,,,
2025-08-01 11:00:00,3614.544189453125,3641.360107421875,3606.0,3640.846435546875,NONE,,,,
2025-08-01 12:00:00,3641.544921875,3670.756591796875,3635.748779296875,3665.9130859375,NONE,,,,
2025-08-01 13:00:00,3662.64697265625,3672.614013671875,3579.506591796875,3593.5419921875,NONE,,,,
2025-08-01 14:00:00,3598.642578125,3651.86376953125,3577.266845703125,3631.84033203125,NONE,,,,
2025-08-01 15:00:00,3631.76025390625,3631.76025390625,3584.493408203125,3616.58984375,NONE,,,,
2025-08-01 16:00:00,3613.03515625,3630.705322265625,3578.989013671875,3580.326171875,NONE,,,,
2025-08-01 17:00:00,3586.447265625,3590.57177734375,3565.7861328125,3566.223876953125,NONE,,,,
2025-08-01 18:00:00,3569.7451171875,3578.81103515625,3542.19921875,3549.5458984375,NONE,,,,
2025-08-01 19:00:00,3551.673583984375,3558.760009765625,3513.691162109375,3513.691162109375,NONE,,,,
2025-08-01 20:00:00,3517.130126953125,3539.376708984375,3495.44091796875,3539.376708984375,NONE,,,,
2025-08-01 21:00:00,3539.984130859375,3549.626708984375,3535.366455078125,3539.78515625,NONE,,,,
2025-08-01 22:00:00,3534.496826171875,3540.85595703125,3444.528076171875,3473.471923828125,NONE,,,,
2025-08-01 23:00:00,3465.768798828125,3490.868896484375,3451.248046875,3487.956787109375,NONE,,,,
2025-08-02 00:00:00,3486.9697265625,3511.1865234375,3479.1240234375,3511.1865234375,NONE,,,,
2025-08-02 01:00:00,3513.19970703125,3519.69140625,3497.900146484375,3517.313720703125,NONE,,,,
2025-08-02 02:00:00,3515.6015625,3524.291748046875,3514.033203125,3519.314697265625,NONE,,,,
2025-08-02 03:00:00,3521.877197265625,3529.91357421875,3519.552490234375,3524.52978515625,NONE,,,,
2025-08-02 04:00:00,3526.738037109375,3531.88525390625,3515.74365234375,3531.88525390625,NONE,,,,
2025-08-02 05:00:00,3532.22607421875,3535.455810546875,3516.352294921875,3518.541748046875,NONE,,,,
2025-08-02 06:00:00,3518.4765625,3518.4765625,3459.7255859375,3479.6240234375,NONE,,,,
2025-08-02 07:00:00,3479.299560546875,3519.590576171875,3471.125244140625,3518.96435546875,NONE,,,,
2025-08-02 08:00:00,3518.4013671875,3520.97705078125,3489.194580078125,3489.194580078125,NONE,,,,
2025-08-02 09:00:00,3490.531005859375,3501.021728515625,3482.313720703125,3492.7470703125,NONE,,,,
2025-08-02 10:00:00,3491.098388671875,3492.6953125,3475.75390625,3490.86181640625,NONE,,,,
2025-08-02 11:00:00,3490.290771484375,3515.828125,3482.665771484375,3508.832763671875,NONE,,,,
2025-08-02 12:00:00,3507.67529296875,3511.871337890625,3497.9990234375,3509.330810546875,NONE,,,,
2025-08-02 13:00:00,3508.481689453125,3514.219970703125,3498.341064453125,3509.15087890625,NONE,,,,
2025-08-02 14:00:00,3508.634033203125,3515.089599609375,3467.77294921875,3478.649169921875,NONE,,,,
2025-08-02 15:00:00,3478.70751953125,3490.166259765625,3454.053955078125,3458.96875,NONE,,,,
2025-08-02 16:00:00,3457.962158203125,3472.7587890625,3437.2333984375,3469.129638671875,NONE,,,,
2025-08-02 17:00:00,3469.02294921875,3478.071533203125,3417.554443359375,3420.02197265625,NONE,,,,
2025-08-02 18:00:00,3422.156494140625,3428.185302734375,3375.478759765625,3383.519775390625,NONE,,,,
2025-08-02 19:00:00,3382.525390625,3423.71826171875,3378.262451171875,3386.781494140625,NONE,,,,
2025-08-02 20:00:00,3383.378662109375,3420.58740234375,3383.378662109375,3420.58740234375,NONE,,,,
2025-08-02 21:00:00,3422.712890625,3433.3486328125,3408.237060546875,3414.742919921875,NONE,,,,
2025-08-02 22:00:00,3411.694580078125,3424.6318359375,3389.88525390625,3412.309814453125,NONE,,,,
2025-08-02 23:00:00,3411.133056640625,3411.195068359375,3373.7421875,3392.744384765625,NONE,,,,
2025-08-03 00:00:00,3391.68798828125,3408.57666015625,3358.14892578125,3407.302734375,NONE,,,,
2025-08-03 01:00:00,3408.376953125,3421.58154296875,3403.4599609375,3416.695556640625,NONE,,,,
2025-08-03 02:00:00,3414.837890625,3444.01513671875,3414.712646484375,3444.01513671875,BUY,3411.6446533203125,3356.4698513183594,3577.169059326172,3.0
2025-08-03 03:00:00,3443.81201171875,3450.359619140625,3440.359619140625,3446.3798828125,BUY,3430.9705810546875,3356.4698513183594,3654.472770263672,3.0
2025-08-03 04:00:00,3446.200927734375,3446.200927734375,3434.599853515625,3439.4150390625,NONE,,,,
2025-08-03 05:00:00,3442.2958984375,3453.170654296875,3442.11669921875,3444.44775390625,NONE,,,,
2025-08-03 06:00:00,3444.531005859375,3446.171142578125,3437.990966796875,3438.348388671875,NONE,,,,
2025-08-03 07:00:00,3439.195556640625,3458.014404296875,3439.195556640625,3453.722900390625,NONE,,,,
2025-08-03 08:00:00,3455.71142578125,3467.031005859375,3454.581298828125,3462.25927734375,BUY,3450.376220703125,3356.4698513183594,3732.095328857422,3.0
2025-08-03 09:00:00,3462.218505859375,3465.792724609375,3455.615966796875,3464.634765625,NONE,,,,
2025-08-03 10:00:00,3465.26025390625,3486.496826171875,3464.643798828125,3486.496826171875,NONE,,,,
2025-08-03 11:00:00,3486.082275390625,3515.42578125,3486.082275390625,3488.0693359375,BUY,3475.9375,3453.888158813477,3542.0855235595695,3.0
