Datetime,Open,High,Low,Close,Volume
2026-04-02 04:00:00,23814.75,23833.25,23812.5,23821.75,540.0
2026-04-02 04:15:00,23822.75,23841.25,23812.25,23819.0,1185.0
2026-04-02 04:30:00,23819.0,23828.5,23800.25,23813.75,1202.0
2026-04-02 04:45:00,23812.5,23818.75,23795.0,23803.0,1443.0
2026-04-02 05:00:00,23805.25,23826.0,23802.75,23807.25,1367.0
2026-04-02 05:15:00,23805.75,23815.5,23793.25,23814.75,1223.0
2026-04-02 05:30:00,23815.25,23827.0,23775.25,23781.75,2579.0
2026-04-02 05:45:00,23783.75,23785.5,23753.75,23756.0,1842.0
2026-04-02 06:00:00,23757.5,23793.25,23752.5,23760.5,2456.0
2026-04-02 06:15:00,23759.75,23795.75,23754.25,23789.25,2047.0
2026-04-02 06:30:00,23789.0,23805.5,23783.25,23793.75,1955.0
2026-04-02 06:45:00,23793.0,23819.0,23783.25,23815.5,1635.0
2026-04-02 07:00:00,23815.75,23836.75,23805.5,23819.75,2838.0
2026-04-02 07:15:00,23818.5,23838.75,23795.25,23823.0,2106.0
2026-04-02 07:30:00,23824.0,23851.75,23819.0,23842.0,2180.0
2026-04-02 07:45:00,23843.0,23882.0,23842.75,23879.25,1923.0
2026-04-02 08:00:00,23878.5,23881.75,23840.0,23843.75,2591.0
2026-04-02 08:15:00,23843.25,23855.0,23823.25,23838.5,1919.0
2026-04-02 08:30:00,23837.25,23870.0,23837.0,23845.75,2155.0
2026-04-02 08:45:00,23848.5,23858.0,23831.5,23834.75,911.0
2026-04-02 09:00:00,23835.25,23848.25,23823.75,23827.25,1092.0
2026-04-02 09:15:00,23828.0,23860.0,23825.5,23848.0,1103.0
2026-04-02 09:30:00,23849.5,23850.25,23820.75,23827.0,1003.0
2026-04-02 09:45:00,23826.75,23839.0,23818.5,23830.25,1042.0
2026-04-02 10:00:00,23831.5,23840.75,23785.0,23787.5,1549.0
2026-04-02 10:15:00,23788.5,23796.0,23776.0,23781.5,1860.0
2026-04-02 10:30:00,23781.5,23817.5,23775.0,23807.0,2122.0
2026-04-02 10:45:00,23807.0,23819.25,23796.5,23813.25,1391.0
2026-04-02 11:00:00,23811.75,23822.0,23757.25,23759.0,2769.0
2026-04-02 11:15:00,23758.75,23761.0,23723.5,23726.25,3382.0
2026-04-02 11:30:00,23727.75,23750.0,23700.75,23708.75,3373.0
2026-04-02 11:45:00,23710.25,23731.5,23682.0,23682.75,3126.0
2026-04-02 12:00:00,23684.0,23700.5,23666.0,23690.75,4151.0
2026-04-02 12:15:00,23691.25,23734.0,23685.25,23727.0,4271.0
2026-04-02 12:30:00,23726.0,23748.0,23712.0,23742.5,4312.0
2026-04-02 12:45:00,23742.5,23757.75,23722.5,23725.5,4594.0
2026-04-02 13:00:00,23725.25,23751.0,23707.25,23721.25,5127.0
2026-04-02 13:15:00,23721.25,23767.75,23717.75,23762.75,7019.0
2026-04-02 13:30:00,23763.5,23818.75,23678.0,23710.75,30431.0
2026-04-02 13:45:00,23712.25,23908.25,23695.25,23898.0,28618.0
2026-04-02 14:00:00,23897.75,23964.5,23859.0,23934.25,26948.0
2026-04-02 14:15:00,23934.0,24004.25,23929.25,23942.0,21054.0
2026-04-02 14:30:00,23941.5,24266.75,23931.75,24201.0,52063.0
2026-04-02 14:45:00,24201.0,24211.5,24084.75,24175.0,25104.0
2026-04-02 15:00:00,24174.5,24214.5,24105.0,24181.0,21625.0
2026-04-02 15:15:00,24180.75,24204.5,24120.0,24180.75,16536.0
2026-04-02 15:30:00,24181.5,24213.5,24138.5,24187.75,14615.0
2026-04-02 15:45:00,24188.0,24188.0,24089.0,24136.0,14516.0
2026-04-02 16:00:00,24136.0,24166.25,24082.5,24111.5,10918.0
2026-04-02 16:15:00,24112.0,24126.0,24057.5,24086.75,10738.0
2026-04-02 16:30:00,24085.25,24177.0,24069.0,24145.25,13877.0
2026-04-02 16:45:00,24146.5,24161.0,24118.75,24121.0,7096.0
2026-04-02 17:00:00,24120.5,24167.5,24098.5,24156.0,8110.0
2026-04-02 17:15:00,24155.0,24182.75,24150.75,24164.75,7104.0
2026-04-02 17:30:00,24164.5,24169.5,24124.5,24138.0,6623.0
2026-04-02 17:45:00,24138.25,24140.0,24063.5,24090.75,9754.0
2026-04-02 18:00:00,24091.25,24144.75,24091.0,24125.25,8455.0
2026-04-02 18:15:00,24125.75,24137.75,24099.25,24107.0,7595.0
2026-04-02 18:30:00,24107.75,24148.0,24101.0,24138.25,6864.0
2026-04-02 18:45:00,24139.0,24165.0,24131.75,24140.5,6099.0
2026-04-02 19:00:00,24141.0,24182.0,24138.25,24162.5,7179.0
2026-04-02 19:15:00,24162.0,24167.5,24135.0,24146.5,7486.0
2026-04-02 19:30:00,24146.5,24168.5,24136.75,24143.75,6036.0
2026-04-02 19:45:00,24143.75,24225.75,24138.0,24220.75,19223.0
2026-04-02 20:00:00,24220.75,24229.5,24199.75,24212.75,9760.0
2026-04-02 20:15:00,24212.75,24233.75,24202.0,24226.0,2276.0
2026-04-02 20:30:00,24225.0,24228.75,24203.5,24214.5,1767.0
2026-04-02 20:45:00,24215.0,24222.0,24207.75,24219.5,1289.0
2026-04-02 22:00:00,24219.5,24219.5,24192.5,24196.75,469.0
2026-04-02 22:15:00,24195.75,24218.25,24177.5,24205.5,2692.0
2026-04-02 22:30:00,24205.5,24218.75,24201.0,24205.0,682.0
2026-04-02 22:45:00,24203.0,24208.75,24200.0,24203.5,312.0
2026-04-02 23:00:00,24203.0,24203.0,24189.0,24194.75,593.0
2026-04-02 23:15:00,24195.75,24212.25,24194.25,24208.75,556.0
2026-04-02 23:30:00,24209.0,24216.75,24205.25,24213.0,552.0
2026-04-02 23:45:00,24213.0,24215.0,24204.75,24213.25,653.0
2026-04-03 00:00:00,24214.75,24255.0,24214.75,24240.25,1808.0
2026-04-03 00:15:00,24239.0,24240.25,24219.75,24236.5,1133.0
2026-04-03 00:30:00,24237.0,24240.0,24213.25,24219.0,868.0
2026-04-03 00:45:00,24218.0,24227.5,24212.5,24225.25,541.0
2026-04-03 01:00:00,24226.0,24231.75,24206.75,24211.0,724.0
2026-04-03 01:15:00,24211.25,24222.5,24208.75,24217.5,656.0
2026-04-03 01:30:00,24217.5,24220.0,24205.5,24207.5,464.0
2026-04-03 01:45:00,24208.0,24208.5,24195.75,24196.75,593.0
2026-04-03 02:00:00,24196.0,24201.25,24191.25,24200.0,520.0
2026-04-03 02:15:00,24199.75,24205.5,24162.25,24169.0,1052.0
2026-04-03 02:30:00,24169.0,24172.0,24155.0,24168.5,906.0
2026-04-03 02:45:00,24168.75,24197.75,24150.5,24181.25,1878.0
2026-04-03 03:00:00,24180.25,24192.5,24176.5,24179.25,1135.0
2026-04-03 03:15:00,24180.0,24187.5,24170.25,24172.75,798.0
2026-04-03 03:30:00,24172.5,24179.75,24161.0,24164.25,390.0
2026-04-03 03:45:00,24163.5,24173.75,24163.25,24168.0,191.0
2026-04-05 22:00:00,24093.5,24094.25,23981.5,24025.0,6439.0
2026-04-05 22:15:00,24025.0,24073.0,24010.5,24063.5,4987.0
2026-04-05 22:30:00,24061.75,24083.0,24034.0,24061.25,3473.0
2026-04-05 22:45:00,24059.0,24097.0,24046.0,24079.25,2908.0
2026-04-05 23:00:00,24079.25,24094.5,24041.0,24069.25,7022.0
2026-04-05 23:15:00,24069.5,24089.5,24055.5,24070.5,2313.0
2026-04-05 23:30:00,24070.75,24086.0,24068.5,24070.0,630.0
2026-04-05 23:45:00,24069.5,24092.5,24068.25,24091.75,652.0
2026-04-06 00:00:00,24091.5,24173.5,24087.75,24165.75,4066.0
2026-04-06 00:15:00,24165.75,24204.25,24154.0,24171.5,2339.0
2026-04-06 00:30:00,24172.5,24203.0,24172.5,24199.0,1786.0
2026-04-06 00:45:00,24200.0,24216.0,24188.75,24208.75,1575.0
2026-04-06 01:00:00,24209.75,24225.5,24208.25,24218.25,1399.0
2026-04-06 01:15:00,24218.25,24240.0,24196.25,24234.0,2086.0
2026-04-06 01:30:00,24234.25,24234.25,24207.5,24220.5,1055.0
2026-04-06 01:45:00,24220.75,24225.25,24183.75,24193.75,1647.0
2026-04-06 02:00:00,24193.25,24274.75,24188.25,24261.5,3094.0
2026-04-06 02:15:00,24260.0,24326.75,24253.0,24311.25,3526.0
2026-04-06 02:30:00,24311.75,24316.25,24253.0,24264.25,2338.0
2026-04-06 02:45:00,24263.0,24269.0,24222.0,24223.0,2107.0
2026-04-06 03:00:00,24223.0,24230.0,24193.0,24194.75,1951.0
2026-04-06 03:15:00,24196.0,24209.75,24120.5,24185.0,3675.0
2026-04-06 03:30:00,24186.5,24199.25,24176.5,24195.75,1145.0
2026-04-06 03:45:00,24196.75,24216.5,24191.75,24212.25,826.0
2026-04-06 04:00:00,24213.0,24237.25,24207.75,24226.25,1283.0
2026-04-06 04:15:00,24227.5,24235.0,24220.0,24227.25,784.0
2026-04-06 04:30:00,24227.5,24256.75,24221.5,24252.5,1276.0
2026-04-06 04:45:00,24253.0,24265.0,24243.75,24253.5,1120.0
2026-04-06 05:00:00,24253.0,24268.0,24251.5,24260.5,740.0
2026-04-06 05:15:00,24261.0,24266.0,24251.0,24251.25,595.0
2026-04-06 05:30:00,24251.75,24253.25,24223.25,24226.0,974.0
2026-04-06 05:45:00,24227.5,24237.5,24212.0,24232.75,991.0
2026-04-06 06:00:00,24232.25,24277.25,24219.0,24275.25,1691.0
2026-04-06 06:15:00,24274.0,24274.75,24219.75,24228.0,1183.0
2026-04-06 06:30:00,24225.25,24237.75,24215.75,24233.0,850.0
2026-04-06 06:45:00,24231.25,24290.25,24218.75,24255.5,3166.0
2026-04-06 07:00:00,24257.25,24261.75,24207.25,24226.25,1840.0
2026-04-06 07:15:00,24228.25,24254.75,24225.25,24237.25,1510.0
2026-04-06 07:30:00,24235.25,24282.5,24234.75,24275.5,1649.0
2026-04-06 07:45:00,24274.75,24325.5,24271.75,24309.5,2195.0
2026-04-06 08:00:00,24310.0,24337.25,24308.75,24329.25,2406.0
2026-04-06 08:15:00,24329.25,24360.25,24315.25,24350.0,2119.0
2026-04-06 08:30:00,24349.75,24393.25,24344.0,24389.0,2225.0
2026-04-06 08:45:00,24388.5,24391.25,24364.0,24370.5,1297.0
2026-04-06 09:00:00,24370.5,24398.25,24367.75,24379.0,1246.0
2026-04-06 09:15:00,24380.0,24395.5,24368.5,24381.25,1286.0
2026-04-06 09:30:00,24382.25,24388.75,24369.5,24370.75,769.0
2026-04-06 09:45:00,24371.75,24378.75,24332.0,24337.5,2200.0
2026-04-06 10:00:00,24338.0,24359.0,24326.5,24349.25,1399.0
2026-04-06 10:15:00,24350.0,24352.75,24327.75,24344.5,1086.0
2026-04-06 10:30:00,24343.5,24356.75,24336.5,24344.25,718.0
2026-04-06 10:45:00,24344.75,24347.0,24262.5,24315.5,3856.0
2026-04-06 11:00:00,24315.5,24316.5,24283.0,24289.5,2136.0
2026-04-06 11:15:00,24288.0,24311.25,24282.0,24300.75,1577.0
2026-04-06 11:30:00,24302.0,24315.5,24292.5,24295.0,1600.0
2026-04-06 11:45:00,24296.75,24316.25,24293.75,24306.5,1304.0
2026-04-06 12:00:00,24306.0,24311.0,24294.0,24305.0,1574.0
2026-04-06 12:15:00,24304.0,24317.5,24288.25,24310.0,1889.0
2026-04-06 12:30:00,24310.75,24329.25,24300.0,24317.25,2209.0
2026-04-06 12:45:00,24316.5,24338.0,24301.25,24307.0,2663.0
2026-04-06 13:00:00,24307.5,24313.25,24272.0,24307.5,3550.0
2026-04-06 13:15:00,24308.25,24314.0,24257.25,24263.75,4963.0
2026-04-06 13:30:00,24264.25,24373.75,24245.75,24328.0,32556.0
2026-04-06 13:45:00,24328.25,24416.75,24326.5,24411.75,21773.0
2026-04-06 14:00:00,24411.5,24452.25,24271.5,24354.75,27346.0
2026-04-06 14:15:00,24354.5,24391.25,24341.25,24364.75,14197.0
2026-04-06 14:30:00,24366.0,24390.0,24287.0,24317.0,20510.0
2026-04-06 14:45:00,24317.25,24327.75,24262.25,24306.25,13591.0
2026-04-06 15:00:00,24306.25,24337.5,24292.5,24313.5,11012.0
2026-04-06 15:15:00,24313.0,24323.75,24267.25,24280.75,8747.0
2026-04-06 15:30:00,24281.25,24298.0,24252.25,24294.0,10136.0
2026-04-06 15:45:00,24293.0,24332.75,24285.75,24323.25,7779.0
2026-04-06 16:00:00,24324.0,24329.0,24283.25,24303.75,7120.0
2026-04-06 16:15:00,24304.5,24323.5,24293.0,24312.5,5016.0
2026-04-06 16:30:00,24312.5,24346.75,24301.75,24334.25,6193.0
2026-04-06 16:45:00,24334.5,24344.0,24302.0,24309.25,7221.0
2026-04-06 17:00:00,24309.0,24311.0,24202.75,24227.0,13436.0
2026-04-06 17:15:00,24226.5,24312.5,24217.25,24305.75,9604.0
2026-04-06 17:30:00,24305.75,24334.25,24279.25,24292.75,8716.0
2026-04-06 17:45:00,24291.5,24292.5,24261.5,24263.5,5316.0
