timestamp,open,high,low,close,volume
2024-06-12 00:00:00+00:00,541.63,544.12,540.3,541.36,63251300.0
2024-06-13 00:00:00+00:00,543.15,543.33,539.59,542.45,44760900.0
2024-06-14 00:00:00+00:00,540.88,542.81,539.85,542.78,40089900.0
2024-06-17 00:00:00+00:00,542.08,548.53,541.61,547.1,55839500.0
2024-06-18 00:00:00+00:00,547.16,548.62,546.73,548.49,41376400.0
2024-06-20 00:00:00+00:00,549.44,550.12,545.18,547.0,70328200.0
2024-06-21 00:00:00+00:00,544.4,545.65,543.02,544.51,64338600.0
2024-06-24 00:00:00+00:00,544.33,546.95,542.62,542.74,45528700.0
2024-06-25 00:00:00+00:00,543.99,545.2,542.44,544.83,37936200.0
2024-06-26 00:00:00+00:00,543.69,546.24,543.03,545.51,38550600.0
2024-06-27 00:00:00+00:00,545.37,546.96,544.61,546.37,35041500.0
2024-06-28 00:00:00+00:00,547.16,550.28,542.95,544.22,76144500.0
2024-07-01 00:00:00+00:00,545.63,545.88,542.52,545.34,40297800.0
2024-07-02 00:00:00+00:00,543.7,549.01,543.65,549.01,40434800.0
2024-07-03 00:00:00+00:00,548.69,551.83,548.65,551.46,32789900.0
2024-07-05 00:00:00+00:00,551.77,555.05,551.12,554.64,41488400.0
2024-07-08 00:00:00+00:00,555.44,556.25,554.19,555.28,36110500.0
2024-07-09 00:00:00+00:00,556.26,557.18,555.52,555.82,27289700.0
2024-07-10 00:00:00+00:00,557.07,561.67,556.77,561.32,38701200.0
2024-07-11 00:00:00+00:00,561.44,562.33,555.83,556.48,53054200.0
2024-07-12 00:00:00+00:00,557.63,563.67,557.15,559.99,53084400.0
2024-07-15 00:00:00+00:00,562.03,564.84,559.63,561.53,40584300.0
2024-07-16 00:00:00+00:00,562.87,565.16,562.1,564.86,36475300.0
2024-07-17 00:00:00+00:00,558.8,560.51,556.61,556.94,57119000.0
2024-07-18 00:00:00+00:00,558.51,559.52,550.43,552.66,56270400.0
2024-07-19 00:00:00+00:00,552.42,554.08,547.91,548.99,65509100.0
2024-07-22 00:00:00+00:00,553.0,555.27,551.02,554.65,43346700.0
2024-07-23 00:00:00+00:00,554.54,556.74,553.28,553.78,34439600.0
2024-07-24 00:00:00+00:00,548.86,549.17,540.29,541.23,74515300.0
2024-07-25 00:00:00+00:00,541.35,547.46,537.45,538.41,61158300.0
2024-07-26 00:00:00+00:00,542.28,547.19,541.49,544.44,53763800.0
2024-07-29 00:00:00+00:00,546.02,547.05,542.72,544.76,39515800.0
2024-07-30 00:00:00+00:00,546.26,547.34,538.52,542.0,46853600.0
2024-07-31 00:00:00+00:00,548.98,553.5,547.58,550.81,65663400.0
2024-08-01 00:00:00+00:00,552.57,554.87,539.43,543.01,76428700.0
2024-08-02 00:00:00+00:00,535.75,536.99,528.6,532.9,82789100.0
